How many meetings did Mayor Larry Klein attend in 2022?
How many meetings did Mayor Larry Klein attend in 2023?
How many meetings did Mayor Larry Klein attend in 2024?
How many meetings did Councilmember Russ Melton attend in 2022?
How many meetings did Councilmember Russ Melton attend in 2023?
How many meetings did Councilmember Russ Melton attend in 2024?
How many meetings did Councilmember Richard Mehlinger attend in 2022?
How many meetings did Councilmember Richard Mehlinger attend in 2023?
How many meetings did Councilmember Richard Mehlinger attend in 2024?
How many meetings did Councilmember Alysa Cisneros attend in 2022?
Who was present at the Charter Review Committee meeting on Thursday, November 6, 2025?
Who was present at the Planning Commission meeting on Monday, April 24, 2023?
Who was present at the Board of Library Trustees meeting on Monday, March 4, 2024?
Who was present at the Zoning Administrator Hearing meeting on Wednesday, April 26, 2023?
Who was present at the Bicycle and Pedestrian Advisory Commission meeting on Thursday, July 21, 2022?
Who was absent from the Sustainability Commission meeting on Thursday, November 30, 2023?
Who was absent from the Board of Library Trustees meeting on Monday, April 1, 2024?
Who was absent from the Arts Commission meeting on Wednesday, January 15, 2025?
Who was absent from the Redistricting Commission meeting on Friday, January 14, 2022?
Who was absent from the Planning Commission meeting on Thursday, November 30, 2023?
Who was the presiding officer at the Parks and Recreation Commission meeting on Wednesday, April 12, 2023?
Who was the presiding officer at the Arts Commission meeting on Wednesday, May 17, 2023?
Who was the presiding officer at the Zoning Administrator Hearing meeting on Wednesday, September 28, 2022?
Who was the presiding officer at the Human Relations Commission meeting on Tuesday, February 13, 2024?
Who was the presiding officer at the Bicycle and Pedestrian Advisory Commission meeting on Thursday, January 19, 2023?
Who was the presiding officer at the Sustainability Commission meeting on Monday, May 15, 2023?
Who was the presiding officer at the City Council meeting on Tuesday, June 25, 2024?
